D1_v2, 1, 3.5, 50, 5
D2s_v3, 2, 8, 16, 10
D2_v3, 2, 8, 50, 15
D4s_v3, 4, 16, 32, 20
D8s_v3, 8, 32, 64, 25
D16s_v3, 16, 64, 128, 30
D32s_v3, 32, 128, 256, 35
D64s_v3, 64, 256, 512, 40
