F2s_v2, 2, 4, 16, 10
F4s_v2, 4, 8, 32, 15
F8s_v2, 8, 16, 64, 20
F16s_v2, 16, 32, 128, 25
F32s_v2, 32, 64, 256, 30
F48s_v2, 48, 96, 384, 35
F64s_v2, 64, 128, 512, 40
F72s_v2, 72, 144, 576, 45
